iter	Passed	Remaining
230	337	1124
231	339	1123
232	341	1124
233	343	1125
234	346	1126
235	348	1127
236	349	1125
237	351	1126
238	353	1126
239	357	1130
240	359	1133
241	361	1132
242	363	1131
243	364	1130
244	367	1133
245	370	1134
246	371	1133
247	373	1133
248	375	1132
249	376	1130
250	378	1130
251	380	1129
252	382	1128
253	383	1127
254	385	1126
255	387	1125
256	388	1124
257	390	1122
258	391	1119
259	392	1116
260	393	1114
261	395	1112
262	396	1110
263	397	1107
264	398	1105
265	400	1104
266	401	1102
267	403	1100
268	404	1099
269	405	1097
270	407	1094
271	408	1092
272	409	1090
273	410	1087
274	411	1085
275	413	1084
276	414	1082
277	415	1080
278	417	1077
279	418	1075
280	419	1073
281	420	1071
282	421	1069
283	423	1067
284	424	1064
285	425	1063
286	427	1061
287	428	1059
288	430	1058
289	431	1055
290	432	1053
291	433	1051
292	435	1049
293	436	1047
294	437	1045
295	438	1043
296	439	1041
297	441	1039
298	442	1036
299	442	1033
300	444	1031
301	445	1028
302	446	1026
303	447	1024
304	448	1022
305	449	1020
306	451	1018
307	452	1016
308	453	1014
309	454	1012
310	456	1010
311	457	1008
312	458	1006
313	459	1004
314	461	1002
315	462	1000
316	463	998
317	464	996
318	466	995
319	467	993
320	468	991
321	470	990
322	471	987
323	472	985
324	474	984
325	475	983
326	477	983
327	479	983
328	481	982
329	483	981
330	485	980
331	487	980
332	488	978
333	489	976
334	491	974
335	492	973
336	493	971
337	495	969
338	496	968
339	498	966
340	498	964
341	500	962
342	502	961
343	504	962
344	505	960
345	507	959
346	508	957
347	510	956
348	512	955
349	513	953
350	515	953
351	517	952
352	518	950
353	519	948
354	521	946
355	522	944
356	523	943
357	525	942
358	526	940
359	528	940
360	530	938
361	531	937
362	533	935
363	534	934
364	535	932
365	538	932
366	540	932
367	542	931
368	544	930
369	545	928
370	546	926
371	547	925
372	549	924
373	551	923
374	553	921
375	554	920
376	555	918
377	556	916
378	558	914
379	559	913
380	560	911
381	562	909
382	563	907
383	564	905
384	565	904
385	567	902
386	568	900
387	569	898
388	570	896
389	571	894
390	573	892
391	574	890
392	575	889
393	576	887
394	578	885
395	579	883
396	580	881
397	581	879
398	582	877
399	583	875
400	585	874
401	586	872
402	587	870
403	588	868
404	590	866
405	591	865
406	592	863
407	593	861
408	594	859
409	595	857
410	597	855
411	598	853
412	599	852
413	600	849
414	601	848
415	602	846
416	604	844
417	605	842
418	606	840
419	607	839
420	609	837
421	610	835
422	611	833
423	612	832
424	613	830
425	615	829
426	616	827
427	617	824
428	618	823
429	619	821
430	620	819
431	621	817
432	623	816
433	624	814
434	625	812
435	626	810
436	627	808
437	628	806
438	630	805
439	631	803
440	632	801
441	633	799
442	635	798
443	636	796
444	637	794
445	638	793
446	639	791
447	640	789
448	642	788
449	643	786
450	644	784
451	646	783
452	648	783
453	651	783
454	654	784
455	656	783
456	659	783
457	660	782
458	662	780
459	664	779
460	665	778
461	667	777
462	668	775
463	670	774
464	671	772
465	673	771
466	674	769
467	675	767
468	676	766
469	677	764
470	680	764
471	682	763
472	683	761
473	685	760
474	686	759
475	688	757
476	689	756
477	691	754
478	693	753
479	695	753
480	697	752
481	699	751
482	701	750
483	702	748
484	703	747
485	704	745
486	706	743
487	707	742
488	709	741
489	711	740
490	713	739
491	714	737
492	715	735
493	717	734
494	718	733
495	721	733
496	722	731
497	724	729
498	725	728
499	726	726
500	727	724
501	729	723
502	730	721
503	731	720
504	733	718
505	734	717
506	735	715
507	736	713
508	738	712
509	739	710
510	740	708
511	741	706
512	742	705
513	744	703
514	745	701
515	746	700
516	748	699
517	749	697
518	751	696
519	752	694
520	753	692
521	755	691
522	756	689
523	757	688
524	759	686
525	760	685
526	761	683
527	763	682
528	764	680
529	765	678
530	766	677
531	768	675
532	769	674
533	770	672
534	772	671
535	773	669
536	774	668
537	776	666
538	777	664
539	778	662
540	779	661
541	780	659
542	782	658
543	783	656
544	784	655
545	785	653
546	787	651
547	788	650
548	789	648
549	791	647
550	792	645
551	793	643
552	794	642
553	797	641
554	799	641
555	801	639
556	803	639
557	805	637
558	806	636
559	808	634
560	809	633
561	810	632
562	812	630
563	814	629
564	815	627
565	816	626
566	817	624
567	819	623
568	820	621
569	821	619
570	822	618
571	824	616
572	825	615
573	826	613
574	827	611
575	829	610
576	830	608
577	831	607
578	833	605
579	835	604
580	836	603
581	837	601
582	839	600
583	840	598
584	842	597
585	844	596
586	845	594
587	846	593
588	848	592
589	849	590
590	851	589
591	852	587
592	853	585
593	854	584
594	856	582
595	857	581
596	859	580
597	860	578
598	862	577
599	863	575
600	864	573
601	865	572
602	866	570
603	868	569
604	869	567
605	870	565
606	871	564
607	873	563
608	874	561
609	876	560
610	877	558
611	878	556
612	880	555
613	882	554
614	884	553
615	886	552
616	888	551
617	889	549
618	890	548
619	892	546
620	894	546
621	896	544
622	897	542
623	898	541
624	899	539
625	901	538
626	902	537
627	904	535
628	905	534
629	907	532
630	908	531
631	909	529
632	910	528
633	912	526
634	913	524
635	914	523
636	915	521
637	917	520
638	918	518
639	919	517
640	921	515
641	922	514
642	923	512
643	924	511
644	925	509
645	927	507
646	928	506
647	929	504
648	930	503
649	932	501
650	933	500
651	934	498
652	936	497
653	937	495
654	938	494
655	939	492
656	941	491
657	943	490
658	944	488
659	946	487
660	947	485
661	949	484
662	950	483
663	951	481
664	952	480
665	954	478
666	955	477
667	956	475
668	957	473
669	959	472
670	960	470
671	961	469
672	962	467
673	963	466
674	964	464
675	966	463
676	967	461
677	968	460
678	970	458
679	971	456
680	972	455
681	973	453
682	974	452
683	975	450
684	976	449
685	978	447
686	979	446
687	980	444
688	981	443
689	982	441
690	984	440
691	985	438
692	986	436
693	987	435
694	988	433
695	989	432
696	991	430
697	992	429
698	993	427
699	993	425
700	995	424
701	996	422
702	997	421
703	999	420
704	1000	418
705	1001	417
706	1003	415
707	1004	414
708	1006	412
709	1007	411
710	1008	410
711	1010	408
712	1011	407
713	1012	405
714	1014	404
715	1016	403
716	1018	401
717	1020	400
718	1021	399
719	1023	397
720	1024	396
721	1025	394
722	1027	393
723	1029	392
724	1031	391
725	1033	389
726	1035	388
727	1037	387
728	1040	386
729	1043	385
730	1045	384
731	1047	383
732	1048	382
733	1050	380
734	1051	379
735	1053	378
736	1056	376
737	1058	375
738	1059	374
739	1061	372
740	1063	371
741	1065	370
742	1067	369
743	1068	367
744	1070	366
745	1071	364
746	1073	363
747	1075	362
748	1077	360
749	1078	359
750	1080	358
751	1081	356
752	1083	355
753	1085	354
754	1087	352
755	1089	351
756	1091	350
757	1092	348
758	1094	347
759	1096	346
760	1098	344
761	1100	343
762	1103	342
763	1106	341
764	1108	340
765	1110	339
766	1112	337
767	1113	336
768	1115	335
769	1117	333
770	1118	332
771	1120	330
772	1122	329
773	1123	328
774	1124	326
775	1126	325
776	1128	323
777	1129	322
778	1130	320
779	1132	319
780	1133	317
781	1135	316
782	1136	315
783	1138	313
784	1139	312
785	1140	310
786	1142	309
787	1143	307
788	1145	306
789	1146	304
790	1147	303
791	1149	301
792	1151	300
793	1153	299
794	1155	297
795	1156	296
796	1158	294
797	1159	293
798	1160	292
799	1162	290
800	1163	289
801	1165	287
802	1166	286
803	1167	284
804	1168	283
805	1170	281
806	1171	280
807	1173	278
808	1174	277
809	1176	275
810	1177	274
811	1179	272
812	1180	271
813	1181	269
814	1182	268
815	1184	267
816	1186	265
817	1188	264
818	1189	262
819	1190	261
820	1192	260
821	1194	258
822	1197	257
823	1198	255
824	1200	254
825	1201	253
826	1202	251
827	1204	250
828	1205	248
829	1206	247
830	1208	245
831	1210	244
832	1212	243
833	1214	241
834	1216	240
835	1218	239
836	1221	237
837	1223	236
838	1224	235
839	1226	233
840	1227	232
841	1229	230
842	1230	229
843	1232	227
844	1236	226
845	1237	225
846	1239	223
847	1240	222
848	1241	220
849	1242	219
850	1245	218
851	1246	216
852	1248	215
853	1249	213
854	1251	212
855	1252	210
856	1254	209
857	1255	207
858	1257	206
859	1259	205
860	1261	203
861	1263	202
862	1265	200
863	1268	199
864	1270	198
865	1271	196
866	1273	195
867	1275	193
868	1276	192
869	1278	190
870	1279	189
871	1281	188
872	1282	186
873	1284	185
874	1285	183
875	1286	182
876	1287	180
877	1289	179
878	1290	177
879	1291	176
880	1293	174
881	1295	173
882	1296	171
883	1297	170
884	1299	168
885	1300	167
886	1302	165
887	1303	164
888	1305	162
889	1306	161
890	1308	160
891	1309	158
892	1311	157
893	1312	155
894	1313	154
895	1314	152
896	1316	151
897	1318	149
898	1319	148
899	1320	146
900	1322	145
901	1324	143
902	1325	142
903	1327	140
904	1328	139
905	1330	138
906	1331	136
907	1333	135
908	1334	133
909	1335	132
910	1337	130
911	1338	129
912	1340	127
913	1341	126
914	1343	124
915	1344	123
916	1346	121
917	1347	120
918	1348	118
919	1349	117
920	1351	115
921	1352	114
922	1354	113
923	1356	111
924	1357	110
925	1358	108
926	1359	107
927	1361	105
928	1362	104
929	1364	102
930	1365	101
931	1368	99
932	1369	98
933	1371	96
934	1372	95
935	1373	93
936	1375	92
937	1376	90
938	1378	89
939	1379	88
940	1381	86
941	1383	85
942	1385	83
943	1387	82
944	1391	80
945	1395	79
946	1397	78
947	1399	76
948	1401	75
949	1404	73
950	1406	72
951	1408	70
952	1409	69
953	1411	68
954	1413	66
955	1415	65
956	1416	63
957	1418	62
958	1419	60
959	1420	59
960	1422	57
961	1423	56
962	1425	54
963	1427	53
964	1428	51
965	1429	50
966	1431	48
967	1432	47
968	1433	45
969	1435	44
970	1436	42
971	1437	41
972	1439	39
973	1442	38
974	1444	37
975	1446	35
976	1448	34
977	1449	32
978	1450	31
979	1452	29
980	1454	28
981	1455	26
982	1457	25
983	1459	23
984	1461	22
985	1462	20
986	1464	19
987	1465	17
988	1468	16
989	1470	14
990	1471	13
991	1473	11
992	1474	10
993	1476	8
994	1478	7
995	1479	5
996	1481	4
997	1483	2
998	1484	1
999	1486	0
